Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Allay,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,Long Parameter List,The method has 5 parameters. ,36
Allay,org.gradle.accessors.dm,LibrariesForLibs,getChromeinspector,Long Identifier,The length of the field laccForChromeinspectorLibraryAccessors is 38.,321
Allay,org.gradle.accessors.dm,LibrariesForLibs,getProfiler,Long Identifier,The length of the field laccForProfilerLibraryAccessors is 31.,356
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,Long Parameter List,The method has 5 parameters. ,36
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getAnnotations,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,41
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getAnnotations,Magic Number,The method contains a magic number: 8,41
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBlockstateupdater,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,55
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBlockstateupdater,Magic Number,The method contains a magic number: 8,55
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBytebuddy,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,69
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBytebuddy,Magic Number,The method contains a magic number: 8,69
