Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Allay,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,3,1,5,36,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getAnnotations,3,1,0,41,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getBlockstateupdater,3,1,0,51,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getBytebuddy,3,1,0,61,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getCaffeine,3,1,0,71,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getCommonsio,3,1,0,81,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getCommonslang3,3,1,0,91,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getDisruptor,3,1,0,101,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getFastreflect,3,1,0,111,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getFastutil,3,1,0,121,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getFlatlaf,3,1,0,131,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getFormsrt,3,1,0,141,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getGson,3,1,0,151,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getGuava,3,1,0,161,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getJavapoet,3,1,0,171,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getJegenerator,3,1,0,181,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getJs,3,1,0,191,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getLeveldbjni,3,1,0,201,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getLibdeflate,3,1,0,211,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getMcterminal,3,1,0,221,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getNbt,3,1,0,231,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getNetwork,3,1,0,241,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getOshi,3,1,0,251,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getPicocli,3,1,0,261,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getPolyglot,3,1,0,271,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getProgressbar,3,1,0,281,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getReflections,3,1,0,291,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getSdk,3,1,0,301,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getSnakeyaml,3,1,0,311,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getChromeinspector,3,1,0,321,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getJoml,3,1,0,328,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getLog4j,3,1,0,335,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getNetty,3,1,0,342,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getOkaeri,3,1,0,349,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getProfiler,3,1,0,356,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getSlf4j,3,1,0,363,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getVersions,3,1,0,370,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getBundles,3,1,0,377,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibs,getPlugins,3,1,0,384,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,3,1,5,36,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getAnnotations,4,1,0,41,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBlockstateupdater,4,1,0,55,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBytebuddy,4,1,0,69,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCaffeine,4,1,0,83,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonsio,4,1,0,97,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getCommonslang3,4,1,0,111,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getDisruptor,4,1,0,125,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastreflect,4,1,0,139,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFastutil,4,1,0,153,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFlatlaf,4,1,0,167,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getFormsrt,4,1,0,181,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGson,4,1,0,195,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,4,1,0,209,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJavapoet,4,1,0,223,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJegenerator,4,1,0,237,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJs,4,1,0,251,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLeveldbjni,4,1,0,265,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLibdeflate,4,1,0,279,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getMcterminal,4,1,0,293,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNbt,4,1,0,307,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetwork,4,1,0,321,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOshi,4,1,0,335,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPicocli,4,1,0,349,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPolyglot,4,1,0,363,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProgressbar,4,1,0,377,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getReflections,4,1,0,391,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSdk,4,1,0,405,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSnakeyaml,4,1,0,419,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getChromeinspector,4,1,0,433,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJoml,4,1,0,444,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getLog4j,4,1,0,455,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getNetty,4,1,0,466,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getOkaeri,4,1,0,477,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getProfiler,4,1,0,488,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getSlf4j,4,1,0,499,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getVersions,3,1,0,510,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,4,1,0,517,0,,
Allay,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPlugins,3,1,0,528,0,,
Allay,org.allaymc.api,AllayAPI,AllayAPI,3,1,0,71,0,org.allaymc.api.AllayAPI,org.allaymc.api.AllayAPI
Allay,org.allaymc.api,AllayAPI,getInstance,3,1,0,75,0,,
Allay,org.allaymc.api,AllayAPI,implement,16,6,1,82,0,,
Allay,org.allaymc.api,AllayAPI,requireImpl,3,1,1,110,0,org.allaymc.api.AllayAPI,org.allaymc.api.AllayAPI
Allay,org.allaymc.api,AllayAPI,requireImpl,4,2,2,114,0,,
Allay,org.allaymc.api,AllayAPI,bind,3,1,2,125,0,org.allaymc.api.AllayAPI,org.allaymc.api.AllayAPI
Allay,org.allaymc.api,AllayAPI,bind,5,1,3,129,0,,
Allay,org.allaymc.api,AllayAPI,bindI18n,6,1,1,135,0,,
Allay,org.allaymc.api,AllayAPI,getAPIInstance,4,2,1,142,0,,
Allay,org.allaymc.api,AllayAPI,defaultAPIRequirements,32,1,0,156,0,,
Allay,org.allaymc.api,ApiInstanceHolder,create,3,1,0,15,0,,
Allay,org.allaymc.api,ApiInstanceHolder,set,3,2,1,19,0,,
Allay,org.allaymc.api,ApiInstanceHolder,get,3,1,0,23,0,,
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,speedBonusByEfficiency,4,2,1,32,0,,
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,getBlockType,0,1,0,37,0,,
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,3,1,4,39,0,,
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,updateBlockProperty,15,4,5,43,0,org.allaymc.api.block.component.common.BlockBaseComponent,org.allaymc.api.block.component.common.BlockBaseComponent
Allay,org.allaymc.api.block.component.common,BlockBaseComponent,canKeepExisting,3,1,3,63,0,,
