Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,
Allay,org.allaymc.api,AllayAPI,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: API_VERSION; INSTANCE; bindings; consumers; i18nSet; implemented; coreName; ApiBindingAction; bindingAction; Consumer,
Allay,org.allaymc.api.block,BlockBehavior,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.component.common,BlockFallableBaseComponent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.component.common,BlockLiquidComponent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.component.common,BlockStateData,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_FRICTION; DEFAULT; SERIALIZER; burnOdds; canContainLiquid; collisionShape; hardness; explosionResistance; flameOdds; friction; light; lightEmission; mapColor; thickness,
Allay,org.allaymc.api.block.component.common,BlockStateDataComponent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.component.event,BlockOnInteractEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: itemStack; dimension; interactInfo; success
Allay,org.allaymc.api.block.component.event,BlockOnNeighborUpdateEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: current; neighbor; face
Allay,org.allaymc.api.block.component.event,BlockOnPlaceEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: currentBlockState; newBlockState; placementInfo
Allay,org.allaymc.api.block.component.event,BlockOnReplaceEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: currentBlockState; newBlockState; placementInfo
Allay,org.allaymc.api.block.data,BlockFace,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: STAIR_DIRECTION_VALUE_TO_BLOCK_FACE; horizontalIndex; offset
Allay,org.allaymc.api.block.data,BlockFace,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STAIR_DIRECTION_VALUE_TO_BLOCK_FACE; horizontalIndex; offset,
Allay,org.allaymc.api.block.interfaces,BlockDoublePlantBehavior,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.interfaces.coralfan,BlockCoralFanBehavior,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.palette,BlockStateHashPalette,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BlockState; BlockType; BlockStateHashPalette,
Allay,org.allaymc.api.block.palette,BlockStateHashPalette.BlockStateHashCollisionException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Allay,org.allaymc.api.block.palette,BlockStateHashPalette.BlockStateHashCollisionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.property.enums,Attachment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Allay,org.allaymc.api.block.property.enums,Attachment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.property.enums,BambooLeafSize,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Allay,org.allaymc.api.block.property.enums,BambooLeafSize,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.property.enums,BambooStalkThickness,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Allay,org.allaymc.api.block.property.enums,BambooStalkThickness,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.property.enums,BigDripleafTilt,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Allay,org.allaymc.api.block.property.enums,BigDripleafTilt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
Allay,org.allaymc.api.block.property.enums,CauldronLiquid,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
