Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Allay,org.allaymc.api.block.data,BlockFaceTest,testRotateVector,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldNotAddTheSameObjectTwice,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldAddTwoObjectsToTheTreeByCreatingABranch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldCorrectlyCalculateHeights,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldCorrectlyCalculateHeightsInAMoreComplexCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldCorrectlyCalculateHeightsInAnEvenMoreComplexCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldCorrectlyCalculateHeightsAfterRemovingAnObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldRemovingAnObjectMarkANodeFree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldRemovingAnObjectInAMoreComplexTreeMarkNodesFree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldContainsReturnTrueIfAnObjectIsAddedToTheTree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldClearTheTree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldDetectAABBOverlaps,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldDetectAABBOverlapsWithFiltering,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldDetectCollidingPairs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldDetectCollidingPairsWithFiltering,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldDetectRayIntersection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.aabbtree,AABBTreeTest,shouldRestoreNodeToInitialStateOnReuse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testGetBefore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testIsBefore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testSetBefore,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testIsEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testContains,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testIterator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testToArray_0args,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testToArray_null,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testAdd,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testRemove,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testContainsAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testAddAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testRemoveAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,testRetainAll,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,test_getSortedList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,test_getSortedList,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.item.recipe,RecipeTest,testShapedRecipe,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
